user_id,evm_address,sui_address,final_amount,chain_name,asset_name,tx_hash,status,timestamp
13500,0xda4c637164a9f0f3f1616df93f2e183bc2a9f053,0x,2138.33021473,arb,USDT,0x6428b40fa8b0e3375e972c298437e209d6caef17439d9f00b222eeb6a26afcfd,success,2025-06-25T15:34:43.164851
9565,0xf83713ea073995f61192d37ce7fb3ac4941fc26a,0x,361.62887869,arb,USDT,0xafbc0e96c9cb1327a9d114a4d0a0ce72f56789f03ac5c60b8a593dbbca407173,success,2025-06-25T15:34:43.164871
10272,0xb6a54ffbd49038e0130832cbc9737ade70ff1b38,0x,246.44703838,arb,USDT,0x047acadfdfca45ed1f3ff9c2c7ddcea285fd21882ac645b438714112da97ae9d,success,2025-06-25T15:34:43.164878
10528,0x6a2e363b31d5fd9556765c8f37c1ddd2cd480fa3,0x,226.37926145,arb,USDT,0xa00090f6ce8298eb94c4c0cf0c6db8bace2f70992436d93bd0a85ff452f59f4d,success,2025-06-25T15:34:43.164884
9563,0xeb1fe6f3fa91da98df5b8a4528d18febc3bfe4d5,0xa8c0435371a17f6fd3744fab0d2c00f5e8ca9b669ab3f3618a7395f48c72ce94,171.69258814,arb,USDT,0xd623a03f8f4b908595b07ed8aadf29ca350b5b8501c0dfc8465c9895b48915a1,success,2025-06-25T15:34:43.164891
10201,0xaf382af382f0e7128f5c3319ca0148e676cf94bc,0x,124.23727286,arb,USDT,0x328cdb0b903bd6b87f7ea9dae34db5c552cf51f778757013c985e63a8610bb53,success,2025-06-25T15:34:43.164898
9958,0x88573b505e2c588c7c14c66dda0264650fd774ce,0x,118.67144407,arb,USDT,0x1d5989c4566bc916cdd83936f6bbc5ff88dac4c829a95feca670125185d89ccf,success,2025-06-25T15:34:43.164904
9784,0x6e8b4caa32dadf2fbab7fd58f9e42d311081edaa,0x,114.25138823,arb,USDT,0x1168b49681ffba39c3e5e4c9a2cafc850db2c08f3bb0215d7141f2cf531db20f,success,2025-06-25T15:34:43.164910
10792,0xca9894accc25e2242a2148aa0fc23a15bdbe727b,0x,113.85434152,arb,USDT,0xf8b60e32ee2592b7d91c31e660ef1955c05746cc628b1a1041b2fe66582cb953,success,2025-06-25T15:34:43.164916
10716,0x9d497f015fc1f853c82c016af981336ca3ace04c,0x,112.44877083,arb,USDT,0xa979285541de29c25aa1f867c996fabdd33864d61196e26210dc6717e394d97d,success,2025-06-25T15:34:43.164923
13443,0x8ac614501447a04c880e8904a9b225326d2a97fd,0x,109.6640826,arb,USDT,0x07215b15696994562ea12f99bc7fc691ff8e84a3678102d8d8bd65dae60a6140,success,2025-06-25T15:34:43.164929
13942,0xcfaf18c80c3a9c17117eb8751d2ce244770c7083,0x,101.53036316,arb,USDT,0x6af3d2793124dddfcfbab6c98182a8d08bf01a4428719c2e581d8fac8aac3154,success,2025-06-25T15:34:43.164935
9387,0x80d4f58d1ae3f836143f793f1e9e0e4ad50a42ce,0x,100.35388346,arb,USDT,0x88bab27fe8aaebf4b130141b2fa5d694b4eb60132c74f03f81170cc1c1490e93,success,2025-06-25T15:34:43.164941
